Player,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Dennis Schroder,PG,LAL,29.0,66.0,37.0,29.0,1985.9,830.0,270.0,650.0,41.5,74.0,225.0,32.9,216.0,252.0,85.7,21.0,144.0,165.0,298.0,112.0,50.0,10.0,145.0,1543.0,2.0,0.0,125.0
Kentavious Caldwell-Pope,SG,DEN,30.0,76.0,51.0,25.0,2381.2,822.0,292.0,632.0,46.2,135.0,319.0,42.3,103.0,125.0,82.4,35.0,173.0,208.0,183.0,86.0,112.0,35.0,145.0,1701.0,0.0,0.0,493.0
Tyus Jones,PG,MEM,26.0,80.0,51.0,29.0,1939.4,822.0,311.0,710.0,43.8,121.0,326.0,37.1,79.0,98.0,80.6,28.0,172.0,200.0,417.0,74.0,83.0,6.0,32.0,1881.0,9.0,1.0,95.0
Corey Kispert,SF,WAS,24.0,74.0,31.0,43.0,2093.3,820.0,291.0,585.0,49.7,163.0,384.0,42.4,75.0,88.0,85.2,33.0,174.0,207.0,87.0,55.0,32.0,9.0,97.0,1267.0,0.0,0.0,-124.0
Chris Paul,PG,PHX,37.0,59.0,33.0,26.0,1888.6,819.0,294.0,668.0,44.0,98.0,261.0,37.5,133.0,160.0,83.1,27.0,224.0,251.0,524.0,114.0,91.0,22.0,126.0,2131.0,17.0,0.0,84.0
Ivica Zubac,C,LAC,26.0,76.0,43.0,33.0,2169.4,818.0,326.0,514.0,63.4,0.0,2.0,0.0,166.0,238.0,69.7,236.0,520.0,756.0,77.0,117.0,29.0,98.0,219.0,2105.0,27.0,0.0,-33.0
Quentin Grimes,SG,NYK,22.0,71.0,41.0,30.0,2120.9,799.0,282.0,602.0,46.8,157.0,407.0,38.6,78.0,98.0,79.6,49.0,180.0,229.0,150.0,69.0,47.0,26.0,177.0,1449.0,0.0,0.0,186.0
Mike Conley,PG,MIN,35.0,67.0,34.0,33.0,2028.1,798.0,261.0,610.0,42.8,135.0,351.0,38.5,141.0,169.0,83.4,33.0,149.0,182.0,450.0,103.0,73.0,14.0,139.0,1849.0,6.0,0.0,60.0
Onyeka Okongwu,PF,ATL,22.0,80.0,41.0,39.0,1848.6,791.0,317.0,497.0,63.8,4.0,13.0,30.8,153.0,196.0,78.1,217.0,359.0,576.0,81.0,81.0,56.0,107.0,251.0,2012.0,12.0,0.0,63.0
Shaedon Sharpe,SG,POR,19.0,80.0,32.0,48.0,1778.6,789.0,306.0,648.0,47.2,102.0,283.0,36.0,75.0,105.0,71.4,63.0,173.0,236.0,94.0,83.0,38.0,24.0,136.0,1316.0,0.0,0.0,-297.0
Killian Hayes,PG,DET,21.0,76.0,16.0,60.0,2153.6,786.0,307.0,815.0,37.7,80.0,286.0,28.0,92.0,112.0,82.1,28.0,193.0,221.0,470.0,173.0,104.0,28.0,219.0,1979.0,6.0,0.0,-500.0
Cole Anthony,PG,ORL,22.0,60.0,28.0,32.0,1551.8,781.0,277.0,610.0,45.4,75.0,206.0,36.4,152.0,170.0,89.4,47.0,241.0,288.0,235.0,91.0,37.0,31.0,158.0,1592.0,1.0,0.0,-26.0
Naz Reid,C,MIN,23.0,68.0,32.0,36.0,1250.9,781.0,310.0,577.0,53.7,75.0,217.0,34.6,86.0,127.0,67.7,73.0,260.0,333.0,77.0,92.0,42.0,53.0,176.0,1489.0,4.0,0.0,-128.0
De'Anthony Melton,SG,PHI,24.0,77.0,50.0,27.0,2149.8,780.0,277.0,651.0,42.5,157.0,403.0,39.0,69.0,87.0,79.3,69.0,243.0,312.0,197.0,102.0,126.0,41.0,191.0,1849.0,0.0,0.0,102.0
Clint Capela,C,ATL,28.0,65.0,35.0,30.0,1730.1,779.0,350.0,536.0,65.3,0.0,1.0,0.0,79.0,131.0,60.3,258.0,459.0,717.0,58.0,54.0,45.0,79.0,139.0,2044.0,35.0,0.0,-30.0
Tari Eason,F,HOU,21.0,82.0,22.0,60.0,1767.2,760.0,296.0,660.0,44.8,59.0,172.0,34.3,109.0,145.0,75.2,195.0,301.0,496.0,88.0,101.0,96.0,47.0,189.0,1815.0,7.0,0.0,-157.0
Bogdan Bogdanovic,SG,ATL,30.0,54.0,27.0,27.0,1508.6,756.0,273.0,611.0,44.7,146.0,360.0,40.6,64.0,77.0,83.1,23.0,142.0,165.0,150.0,65.0,43.0,18.0,86.0,1297.0,0.0,0.0,64.0
Jalen McDaniels,PF,PHI,25.0,80.0,31.0,49.0,1912.9,755.0,281.0,617.0,45.5,77.0,232.0,33.2,116.0,138.0,84.1,63.0,283.0,346.0,130.0,93.0,83.0,34.0,209.0,1623.0,3.0,0.0,-149.0
Zion Williamson,PF,NOP,22.0,29.0,17.0,12.0,956.1,754.0,285.0,469.0,60.8,7.0,19.0,36.8,177.0,248.0,71.4,58.0,144.0,202.0,133.0,99.0,32.0,16.0,65.0,1241.0,5.0,0.0,149.0
Grayson Allen,SG,MIL,27.0,72.0,53.0,19.0,1972.1,750.0,245.0,557.0,44.0,146.0,366.0,39.9,114.0,126.0,90.5,61.0,176.0,237.0,163.0,72.0,62.0,14.0,117.0,1435.0,0.0,0.0,227.0
Josh Hart,SG,NYK,28.0,76.0,42.0,34.0,2454.0,743.0,275.0,520.0,52.9,61.0,164.0,37.2,132.0,176.0,75.0,142.0,451.0,593.0,290.0,117.0,88.0,21.0,195.0,2100.0,10.0,0.0,315.0
Aaron Nesmith,SF,IND,23.0,73.0,30.0,43.0,1816.4,738.0,252.0,590.0,42.7,115.0,314.0,36.6,119.0,142.0,83.8,62.0,215.0,277.0,98.0,75.0,55.0,34.0,235.0,1409.0,1.0,0.0,-211.0
Gordon Hayward,SF,CHA,33.0,50.0,20.0,30.0,1576.9,733.0,276.0,581.0,47.5,52.0,160.0,32.5,129.0,159.0,81.1,33.0,182.0,215.0,206.0,99.0,42.0,12.0,70.0,1363.0,2.0,0.0,-108.0
Zach Collins,PF,SAS,25.0,63.0,20.0,43.0,1440.6,731.0,284.0,548.0,51.8,55.0,147.0,37.4,108.0,142.0,76.1,116.0,286.0,402.0,180.0,129.0,37.0,49.0,199.0,1612.0,9.0,0.0,-239.0
Marcus Morris Sr.,SF,LAC,33.0,65.0,35.0,30.0,1825.1,728.0,274.0,643.0,42.6,112.0,307.0,36.5,68.0,87.0,78.2,29.0,229.0,258.0,114.0,56.0,42.0,21.0,136.0,1342.0,2.0,0.0,-16.0
Coby White,PG,CHI,23.0,74.0,37.0,37.0,1730.2,715.0,263.0,594.0,44.3,128.0,344.0,37.2,61.0,70.0,87.1,16.0,196.0,212.0,204.0,74.0,54.0,6.0,122.0,1381.0,1.0,0.0,143.0
Terance Mann,SG,LAC,26.0,81.0,44.0,37.0,1872.2,713.0,272.0,524.0,51.9,77.0,198.0,38.9,92.0,118.0,78.0,77.0,199.0,276.0,184.0,80.0,42.0,22.0,149.0,1432.0,1.0,0.0,2.0
Chris Boucher,PF,TOR,30.0,76.0,39.0,37.0,1523.5,712.0,261.0,529.0,49.3,62.0,189.0,32.8,128.0,168.0,76.2,157.0,264.0,421.0,29.0,41.0,47.0,64.0,143.0,1553.0,9.0,0.0,-18.0
Andrew Nembhard,PG,IND,23.0,75.0,32.0,43.0,2073.5,709.0,284.0,644.0,44.1,92.0,263.0,35.0,49.0,62.0,79.0,35.0,164.0,199.0,341.0,126.0,70.0,13.0,179.0,1582.0,5.0,0.0,-263.0
Rui Hachimura,PF,LAL,25.0,63.0,38.0,25.0,1466.0,707.0,284.0,584.0,48.6,51.0,160.0,31.9,88.0,119.0,73.9,53.0,230.0,283.0,58.0,53.0,19.0,26.0,72.0,1216.0,2.0,0.0,-28.0
Daniel Gafford,C,WAS,24.0,78.0,32.0,46.0,1604.2,705.0,289.0,395.0,73.2,0.0,0.0,0.0,127.0,187.0,67.9,163.0,270.0,433.0,84.0,85.0,33.0,99.0,187.0,1662.0,10.0,0.0,-89.0
Jaylen Nowell,SG,MIN,23.0,65.0,34.0,31.0,1251.7,704.0,280.0,625.0,44.8,67.0,232.0,28.9,77.0,99.0,77.8,36.0,134.0,170.0,132.0,65.0,42.0,5.0,101.0,1182.0,0.0,0.0,-8.0
Devin Vassell,SG,SAS,22.0,38.0,12.0,26.0,1178.1,703.0,261.0,595.0,43.9,103.0,266.0,38.7,78.0,100.0,78.0,8.0,140.0,148.0,136.0,57.0,43.0,17.0,57.0,1208.0,0.0,0.0,-295.0
Marcus Smart,PG,BOS,29.0,61.0,43.0,18.0,1956.8,703.0,250.0,602.0,41.5,115.0,342.0,33.6,88.0,118.0,74.6,46.0,145.0,191.0,382.0,143.0,93.0,23.0,172.0,1710.0,6.0,0.0,240.0
Naji Marshall,SF,NOP,25.0,77.0,40.0,37.0,1792.0,698.0,247.0,571.0,43.3,66.0,218.0,30.3,138.0,175.0,78.9,48.0,231.0,279.0,189.0,97.0,54.0,14.0,113.0,1423.0,0.0,0.0,6.0
Talen Horton-Tucker,SG,UTA,22.0,65.0,30.0,35.0,1313.2,698.0,257.0,613.0,41.9,58.0,203.0,28.6,126.0,168.0,75.0,41.0,169.0,210.0,246.0,126.0,41.0,29.0,108.0,1403.0,2.0,0.0,-8.0
Deni Avdija,SF,WAS,22.0,76.0,33.0,43.0,2020.4,697.0,253.0,579.0,43.7,69.0,232.0,29.7,122.0,165.0,73.9,74.0,413.0,487.0,211.0,123.0,65.0,29.0,209.0,1757.0,11.0,0.0,-51.0
Santi Aldama,PF,MEM,22.0,77.0,47.0,30.0,1681.7,696.0,247.0,525.0,47.0,94.0,266.0,35.3,108.0,144.0,75.0,85.0,286.0,371.0,97.0,60.0,45.0,48.0,143.0,1506.0,4.0,0.0,91.0
Jusuf Nurkic,C,POR,28.0,52.0,24.0,28.0,1391.4,694.0,262.0,505.0,51.9,43.0,119.0,36.1,127.0,192.0,66.1,114.0,357.0,471.0,149.0,119.0,43.0,44.0,185.0,1625.0,18.0,0.0,9.0
Reggie Jackson,PG,DEN,33.0,68.0,36.0,32.0,1656.9,693.0,263.0,640.0,41.1,96.0,288.0,33.3,71.0,78.0,91.0,25.0,119.0,144.0,233.0,115.0,47.0,6.0,114.0,1259.0,1.0,0.0,-79.0
Isaiah Joe,SG,OKC,23.0,73.0,36.0,37.0,1395.3,691.0,224.0,508.0,44.1,161.0,394.0,40.9,82.0,100.0,82.0,27.0,148.0,175.0,88.0,39.0,48.0,8.0,105.0,1162.0,0.0,0.0,213.0
Ayo Dosunmu,SG,CHI,23.0,80.0,40.0,40.0,2097.6,687.0,281.0,570.0,49.3,59.0,189.0,31.2,66.0,82.0,80.5,45.0,175.0,220.0,206.0,99.0,62.0,26.0,182.0,1425.0,0.0,0.0,-77.0
Collin Sexton,PG,UTA,24.0,48.0,24.0,24.0,1145.2,685.0,237.0,468.0,50.6,48.0,122.0,39.3,163.0,199.0,81.9,37.0,68.0,105.0,138.0,85.0,27.0,6.0,112.0,1032.0,1.0,0.0,-28.0
Caleb Martin,SF,MIA,27.0,71.0,38.0,33.0,2077.7,683.0,254.0,548.0,46.4,84.0,236.0,35.6,91.0,113.0,80.5,88.0,256.0,344.0,117.0,79.0,71.0,31.0,145.0,1498.0,2.0,0.0,-9.0
Walker Kessler,C,UTA,21.0,74.0,34.0,40.0,1703.2,679.0,298.0,414.0,72.0,1.0,3.0,33.3,82.0,159.0,51.6,231.0,389.0,620.0,69.0,58.0,26.0,173.0,169.0,2066.0,20.0,0.0,72.0
Donte DiVincenzo,SG,GSW,26.0,72.0,42.0,30.0,1894.4,678.0,235.0,540.0,43.5,150.0,378.0,39.7,58.0,71.0,81.7,80.0,245.0,325.0,252.0,112.0,97.0,10.0,133.0,1655.0,4.0,0.0,124.0
Malaki Branham,G,SAS,19.0,66.0,15.0,51.0,1549.6,673.0,269.0,611.0,44.0,77.0,255.0,30.2,58.0,70.0,82.9,28.0,153.0,181.0,127.0,76.0,33.0,7.0,115.0,1125.0,0.0,0.0,-364.0
Royce O'Neale,PF,BKN,29.0,76.0,42.0,34.0,2409.2,671.0,229.0,593.0,38.6,163.0,419.0,38.9,50.0,69.0,72.5,55.0,329.0,384.0,283.0,114.0,65.0,49.0,239.0,1784.0,4.0,1.0,78.0
Cedi Osman,SF,CLE,28.0,77.0,48.0,29.0,1548.3,669.0,239.0,530.0,45.1,116.0,312.0,37.2,75.0,108.0,69.4,25.0,151.0,176.0,115.0,52.0,35.0,11.0,122.0,1139.0,1.0,0.0,228.0
Jonathan Kuminga,PF,GSW,20.0,67.0,38.0,29.0,1394.4,666.0,261.0,497.0,52.5,54.0,146.0,37.0,90.0,138.0,65.2,70.0,161.0,231.0,125.0,95.0,41.0,31.0,157.0,1252.0,1.0,0.0,-53.0
Bones Hyland,PG,LAC,22.0,56.0,36.0,20.0,1085.5,659.0,228.0,571.0,39.9,117.0,315.0,37.1,86.0,102.0,84.3,20.0,115.0,135.0,172.0,82.0,39.0,15.0,96.0,1159.0,1.0,0.0,-129.0
Doug McDermott,SF,SAS,31.0,64.0,19.0,45.0,1314.2,654.0,239.0,523.0,45.7,123.0,298.0,41.3,53.0,70.0,75.7,23.0,115.0,138.0,91.0,58.0,13.0,6.0,118.0,955.0,0.0,0.0,-237.0
Josh Richardson,SG,NOP,29.0,65.0,24.0,41.0,1529.6,654.0,239.0,554.0,43.1,107.0,293.0,36.5,69.0,81.0,85.2,41.0,134.0,175.0,174.0,86.0,69.0,20.0,117.0,1306.0,1.0,0.0,-161.0
Lonnie Walker IV,G,LAL,24.0,56.0,27.0,29.0,1297.0,654.0,236.0,527.0,44.8,91.0,249.0,36.5,91.0,106.0,85.8,14.0,95.0,109.0,64.0,46.0,30.0,17.0,71.0,976.0,0.0,0.0,-207.0
Alec Burks,SG,DET,31.0,51.0,12.0,39.0,1122.4,652.0,200.0,459.0,43.6,99.0,239.0,41.4,153.0,188.0,81.4,19.0,139.0,158.0,114.0,58.0,38.0,8.0,98.0,1093.0,0.0,0.0,-7.0
Jevon Carter,PG,MIL,27.0,81.0,57.0,24.0,1811.8,651.0,239.0,565.0,42.3,142.0,337.0,42.1,31.0,38.0,81.6,35.0,167.0,202.0,197.0,78.0,66.0,29.0,158.0,1396.0,1.0,0.0,63.0
Cameron Johnson,SF,BKN,27.0,42.0,25.0,17.0,1199.8,650.0,223.0,474.0,47.0,103.0,255.0,40.4,101.0,120.0,84.2,34.0,151.0,185.0,78.0,37.0,50.0,14.0,83.0,1144.0,1.0,0.0,155.0
T.J. McConnell,PG,IND,31.0,75.0,31.0,44.0,1526.4,650.0,283.0,521.0,54.3,26.0,59.0,44.1,58.0,68.0,85.3,45.0,189.0,234.0,397.0,143.0,81.0,10.0,105.0,1656.0,6.0,1.0,-62.0
Herbert Jones,SF,NOP,24.0,66.0,31.0,35.0,1950.5,649.0,235.0,501.0,46.9,56.0,167.0,33.5,123.0,161.0,76.4,97.0,172.0,269.0,162.0,88.0,103.0,42.0,208.0,1562.0,0.0,0.0,150.0
Keita Bates-Diop,SF,SAS,27.0,67.0,18.0,49.0,1452.6,647.0,236.0,465.0,50.8,56.0,142.0,39.4,119.0,150.0,79.3,65.0,182.0,247.0,103.0,56.0,46.0,20.0,63.0,1240.0,0.0,0.0,-266.0
Kyle Anderson,SF,MIN,29.0,69.0,36.0,33.0,1956.6,647.0,252.0,495.0,50.9,43.0,105.0,41.0,100.0,136.0,73.5,66.0,302.0,368.0,335.0,103.0,78.0,63.0,146.0,1911.0,10.0,3.0,91.0
Jalen Smith,PF,IND,23.0,68.0,31.0,37.0,1278.8,642.0,242.0,508.0,47.6,54.0,191.0,28.3,104.0,137.0,75.9,129.0,265.0,394.0,66.0,72.0,21.0,60.0,153.0,1385.0,7.0,0.0,-95.0
Gabe Vincent,PG,MIA,26.0,68.0,37.0,31.0,1758.7,641.0,228.0,567.0,40.2,117.0,350.0,33.4,68.0,78.0,87.2,27.0,118.0,145.0,167.0,92.0,62.0,5.0,154.0,1175.0,0.0,0.0,-28.0
Grant Williams,PF,BOS,24.0,79.0,55.0,24.0,2044.8,641.0,216.0,476.0,45.4,115.0,291.0,39.5,94.0,122.0,77.0,87.0,276.0,363.0,131.0,82.0,41.0,31.0,192.0,1407.0,3.0,0.0,206.0
AJ Griffin,F,ATL,19.0,72.0,34.0,38.0,1401.4,639.0,248.0,533.0,46.5,101.0,259.0,39.0,42.0,47.0,89.4,37.0,116.0,153.0,73.0,42.0,42.0,12.0,87.0,1052.0,0.0,0.0,63.0
Georges Niang,SF,PHI,29.0,78.0,51.0,27.0,1511.8,637.0,222.0,502.0,44.2,154.0,384.0,40.1,39.0,45.0,86.7,19.0,166.0,185.0,77.0,54.0,31.0,14.0,145.0,1056.0,0.0,0.0,75.0
Shake Milton,SG,PHI,26.0,76.0,52.0,24.0,1567.4,637.0,241.0,503.0,47.9,56.0,148.0,37.8,99.0,116.0,85.3,39.0,152.0,191.0,240.0,94.0,25.0,13.0,123.0,1246.0,3.0,0.0,144.0
Monte Morris,PG,WAS,27.0,62.0,28.0,34.0,1696.1,636.0,247.0,515.0,48.0,78.0,204.0,38.2,64.0,77.0,83.1,26.0,184.0,210.0,326.0,60.0,43.0,13.0,75.0,1485.0,2.0,0.0,6.0
Bol Bol,C,ORL,23.0,70.0,26.0,44.0,1505.4,634.0,261.0,478.0,54.6,30.0,113.0,26.5,82.0,108.0,75.9,69.0,336.0,405.0,69.0,112.0,30.0,85.0,92.0,1457.0,6.0,0.0,-146.0
Andrew Wiggins,SF,GSW,28.0,37.0,19.0,18.0,1190.3,633.0,250.0,529.0,47.3,89.0,225.0,39.6,44.0,72.0,61.1,61.0,125.0,186.0,85.0,48.0,45.0,28.0,107.0,1155.0,3.0,0.0,118.0
Jarred Vanderbilt,PF,LAL,24.0,78.0,43.0,35.0,1879.7,619.0,247.0,451.0,54.8,29.0,90.0,32.2,96.0,139.0,69.1,170.0,412.0,582.0,184.0,97.0,83.0,21.0,190.0,1808.0,10.0,0.0,-101.0
Draymond Green,PF,GSW,33.0,73.0,41.0,32.0,2297.6,617.0,250.0,474.0,52.7,40.0,131.0,30.5,77.0,108.0,71.3,66.0,459.0,525.0,500.0,204.0,74.0,61.0,229.0,2198.0,11.0,0.0,346.0
Al Horford,C,BOS,36.0,63.0,44.0,19.0,1921.4,616.0,228.0,479.0,47.6,145.0,325.0,44.6,15.0,21.0,71.4,73.0,317.0,390.0,189.0,37.0,30.0,61.0,121.0,1604.0,7.0,0.0,309.0
Kyle Lowry,PG,MIA,37.0,55.0,30.0,25.0,1717.7,615.0,196.0,485.0,40.4,107.0,310.0,34.5,116.0,135.0,85.9,43.0,182.0,225.0,281.0,103.0,57.0,21.0,143.0,1438.0,2.0,1.0,55.0
Jeremy Sochan,F,SAS,19.0,56.0,15.0,41.0,1457.7,614.0,250.0,552.0,45.3,33.0,134.0,24.6,81.0,116.0,69.8,95.0,200.0,295.0,142.0,97.0,43.0,23.0,138.0,1282.0,2.0,0.0,-235.0
Jalen Duren,C,DET,19.0,67.0,16.0,51.0,1670.1,612.0,258.0,398.0,64.8,0.0,2.0,0.0,96.0,157.0,61.1,229.0,366.0,595.0,75.0,92.0,44.0,59.0,182.0,1656.0,19.0,0.0,-279.0
Cam Thomas,SG,BKN,21.0,57.0,30.0,27.0,947.6,604.0,201.0,456.0,44.1,51.0,133.0,38.3,151.0,174.0,86.8,8.0,87.0,95.0,78.0,63.0,20.0,7.0,55.0,853.0,0.0,0.0,-4.0
Damion Lee,SG,PHX,30.0,74.0,40.0,34.0,1506.3,604.0,200.0,452.0,44.2,110.0,247.0,44.5,94.0,104.0,90.4,39.0,186.0,225.0,99.0,78.0,30.0,7.0,118.0,1056.0,0.0,0.0,79.0
Karl-Anthony Towns,C,MIN,27.0,29.0,15.0,14.0,957.0,602.0,212.0,428.0,49.5,60.0,164.0,36.6,118.0,135.0,87.4,48.0,188.0,236.0,140.0,86.0,20.0,17.0,111.0,1120.0,9.0,0.0,39.0
Moritz Wagner,C,ORL,26.0,57.0,27.0,30.0,1109.5,600.0,198.0,396.0,50.0,51.0,163.0,31.3,153.0,182.0,84.1,69.0,190.0,259.0,84.0,68.0,37.0,13.0,136.0,1119.0,3.0,0.0,-27.0
Torrey Craig,SF,PHX,32.0,79.0,44.0,35.0,1947.8,588.0,228.0,500.0,45.6,100.0,253.0,39.5,32.0,45.0,71.1,145.0,281.0,426.0,117.0,73.0,50.0,62.0,179.0,1538.0,4.0,0.0,-177.0
Thomas Bryant,C,DEN,25.0,59.0,33.0,26.0,1081.5,579.0,230.0,369.0,62.3,26.0,59.0,44.1,93.0,126.0,73.8,86.0,253.0,339.0,31.0,38.0,16.0,30.0,102.0,1132.0,9.0,0.0,-93.0
Kevon Looney,F,GSW,27.0,82.0,44.0,38.0,1957.6,578.0,242.0,384.0,63.0,0.0,1.0,0.0,94.0,155.0,60.6,274.0,486.0,760.0,207.0,45.0,52.0,50.0,224.0,2062.0,14.0,0.0,157.0
Isaiah Stewart,C,DET,21.0,50.0,12.0,38.0,1414.1,567.0,195.0,441.0,44.2,67.0,205.0,32.7,110.0,149.0,73.8,115.0,288.0,403.0,70.0,68.0,20.0,34.0,133.0,1250.0,13.0,0.0,-226.0
Joe Harris,SF,BKN,31.0,74.0,40.0,34.0,1527.2,562.0,201.0,440.0,45.7,142.0,333.0,42.6,18.0,28.0,64.3,23.0,141.0,164.0,101.0,41.0,34.0,13.0,140.0,1010.0,0.0,0.0,-24.0
Trey Lyles,PF,SAC,27.0,74.0,43.0,31.0,1247.2,562.0,187.0,408.0,45.8,87.0,240.0,36.3,101.0,124.0,81.5,68.0,232.0,300.0,66.0,64.0,27.0,31.0,97.0,1131.0,1.0,0.0,105.0
Reggie Bullock,SF,DAL,32.0,78.0,37.0,41.0,2364.5,561.0,192.0,470.0,40.9,151.0,397.0,38.0,26.0,37.0,70.3,32.0,251.0,283.0,108.0,36.0,54.0,13.0,166.0,1228.0,1.0,0.0,-87.0
Seth Curry,SG,BKN,32.0,61.0,37.0,24.0,1210.7,561.0,208.0,449.0,46.3,94.0,232.0,40.5,51.0,55.0,92.7,13.0,87.0,100.0,99.0,51.0,36.0,7.0,96.0,908.0,0.0,0.0,-69.0
Brandon Clarke,PF,MEM,26.0,56.0,32.0,24.0,1090.1,559.0,229.0,349.0,65.6,1.0,6.0,16.7,100.0,139.0,71.9,92.0,218.0,310.0,72.0,55.0,34.0,37.0,131.0,1197.0,6.0,0.0,-14.0
Dorian Finney-Smith,PF,BKN,29.0,66.0,31.0,35.0,2008.8,551.0,196.0,501.0,39.1,114.0,338.0,33.7,45.0,59.0,76.3,114.0,202.0,316.0,100.0,62.0,55.0,36.0,144.0,1291.0,2.0,0.0,-8.0
Jose Alvarado,PG,NOP,25.0,61.0,30.0,31.0,1310.0,550.0,201.0,489.0,41.1,83.0,247.0,33.6,65.0,80.0,81.3,28.0,113.0,141.0,186.0,81.0,67.0,10.0,125.0,1148.0,0.0,0.0,103.0
Josh Green,SG,DAL,22.0,60.0,27.0,33.0,1539.2,546.0,205.0,382.0,53.7,68.0,169.0,40.2,68.0,94.0,72.3,55.0,127.0,182.0,103.0,72.0,42.0,5.0,156.0,988.0,1.0,0.0,77.0
Luke Kennard,SG,MEM,26.0,59.0,37.0,22.0,1315.1,546.0,188.0,382.0,49.2,133.0,269.0,49.4,37.0,39.0,94.9,15.0,143.0,158.0,91.0,46.0,32.0,5.0,82.0,937.0,0.0,0.0,211.0
Jordan Nwora,SF,IND,24.0,62.0,36.0,26.0,1188.1,542.0,194.0,445.0,43.6,86.0,211.0,40.8,68.0,86.0,79.1,51.0,178.0,229.0,88.0,66.0,24.0,14.0,74.0,997.0,1.0,0.0,-252.0
Troy Brown Jr.,SF,LAL,23.0,76.0,40.0,36.0,1859.8,541.0,200.0,465.0,43.0,107.0,281.0,38.1,34.0,39.0,87.2,62.0,246.0,308.0,95.0,49.0,59.0,16.0,120.0,1229.0,2.0,0.0,-15.0
Devonte' Graham,PG,SAS,28.0,73.0,31.0,42.0,1338.4,539.0,161.0,431.0,37.4,119.0,338.0,35.2,98.0,131.0,74.8,19.0,103.0,122.0,196.0,53.0,45.0,16.0,79.0,1109.0,0.0,0.0,-159.0
Nick Richards,C,CHA,25.0,65.0,21.0,44.0,1217.7,532.0,197.0,313.0,62.9,1.0,1.0,100.0,137.0,183.0,74.9,147.0,269.0,416.0,38.0,59.0,11.0,71.0,154.0,1275.0,14.0,0.0,-113.0
Josh Okogie,SF,PHX,24.0,72.0,38.0,34.0,1350.6,529.0,162.0,414.0,39.1,66.0,197.0,33.5,139.0,192.0,72.4,109.0,142.0,251.0,105.0,63.0,56.0,34.0,114.0,1195.0,2.0,0.0,106.0
Jalen Suggs,SG,ORL,21.0,53.0,20.0,33.0,1245.9,524.0,186.0,444.0,41.9,66.0,202.0,32.7,86.0,119.0,72.3,55.0,106.0,161.0,155.0,94.0,67.0,27.0,120.0,1138.0,0.0,0.0,-40.0
Hamidou Diallo,SG,DET,24.0,56.0,12.0,44.0,995.9,522.0,215.0,375.0,57.3,5.0,21.0,23.8,87.0,148.0,58.8,57.0,137.0,194.0,55.0,71.0,53.0,16.0,124.0,973.0,0.0,0.0,-16.0
Terrence Ross,G,PHX,32.0,63.0,27.0,36.0,1330.5,522.0,200.0,465.0,43.0,95.0,258.0,36.8,27.0,34.0,79.4,22.0,132.0,154.0,95.0,43.0,35.0,10.0,97.0,941.0,0.0,0.0,-76.0
Drew Eubanks,PF,POR,26.0,78.0,31.0,47.0,1583.7,518.0,214.0,334.0,64.1,7.0,18.0,38.9,83.0,125.0,66.4,132.0,286.0,418.0,103.0,67.0,40.0,102.0,169.0,1533.0,3.0,0.0,-131.0
Tre Mann,PG,OKC,22.0,67.0,31.0,36.0,1183.4,517.0,197.0,501.0,39.3,81.0,257.0,31.5,42.0,55.0,76.4,27.0,128.0,155.0,120.0,62.0,40.0,11.0,99.0,974.0,1.0,1.0,57.0
Sam Hauser,SF,BOS,25.0,80.0,55.0,25.0,1289.9,512.0,180.0,396.0,45.5,140.0,335.0,41.8,12.0,17.0,70.6,35.0,169.0,204.0,71.0,30.0,29.0,21.0,99.0,983.0,0.0,0.0,219.0
Kevin Love,PF,MIA,34.0,62.0,35.0,27.0,1239.5,509.0,165.0,424.0,38.9,99.0,296.0,33.4,80.0,91.0,87.9,59.0,340.0,399.0,116.0,70.0,16.0,12.0,97.0,1176.0,6.0,0.0,109.0
Precious Achiuwa,PF,TOR,23.0,55.0,30.0,25.0,1140.5,508.0,196.0,404.0,48.5,29.0,108.0,26.9,87.0,124.0,70.2,100.0,228.0,328.0,50.0,59.0,31.0,30.0,102.0,1101.0,10.0,0.0,-37.0
Dwight Powell,C,DAL,31.0,76.0,37.0,39.0,1457.9,506.0,197.0,269.0,73.2,0.0,5.0,0.0,112.0,168.0,66.7,149.0,165.0,314.0,69.0,65.0,48.0,26.0,209.0,1143.0,1.0,0.0,166.0
Marvin Bagley III,PF,DET,24.0,42.0,7.0,35.0,990.5,504.0,202.0,382.0,52.9,19.0,66.0,28.8,81.0,108.0,75.0,94.0,175.0,269.0,36.0,46.0,19.0,30.0,81.0,982.0,8.0,0.0,-229.0
Khris Middleton,SF,MIL,31.0,33.0,25.0,8.0,800.8,497.0,177.0,406.0,43.6,51.0,162.0,31.5,92.0,102.0,90.2,28.0,112.0,140.0,163.0,71.0,23.0,5.0,68.0,923.0,4.0,0.0,132.0
Obi Toppin,PF,NYK,25.0,67.0,37.0,30.0,1050.5,497.0,187.0,419.0,44.6,85.0,247.0,34.4,38.0,47.0,80.9,29.0,158.0,187.0,66.0,38.0,23.0,12.0,68.0,887.0,0.0,0.0,57.0
